Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Tonic Smooth Muscle Contraction (GO:0014820)	2/5	5.6141203486628396E-5	0.027902178132854314	0	0	289.1159420289855	2829.76291786035	EDN3;MYLK
Steroid Hormone Receptor Signaling Pathway (GO:0043401)	2/11	3.0595321755068756E-4	0.07602937456134586	0	0	96.34299516908213	779.6150655284314	NR3C1;PLPP1
Regulation of Leukocyte Chemotaxis (GO:0002688)	2/18	8.420348934468774E-4	0.10462283551077452	0	0	54.17391304347826	383.53446186420183	EDN3;IL6R
Xenobiotic Transport (GO:0042908)	2/18	8.420348934468774E-4	0.10462283551077452	0	0	54.17391304347826	383.53446186420183	ABCA8;ABCG2
Cellular Response to Transforming Growth Factor Beta Stimulus (GO:0071560)	3/101	0.001833311562339013	0.1315707364526783	0	0	13.506122448979593	85.11060464912899	GCNT2;NR3C1;APPL2
Positive Regulation of MAPK Cascade (GO:0043410)	5/380	0.002111570798802142	0.1315707364526783	0	0	6.0703875968992245	37.395549267262304	EDN3;LPAR1;GCNT2;RELL1;IL6R
Cellular Response to Glucocorticoid Stimulus (GO:0071385)	2/29	0.002197150090738018	0.1315707364526783	0	0	32.085346215781	196.38138304502567	NR3C1;PCK1
Positive Regulation of Leukocyte Migration (GO:0002687)	2/30	0.002350495478973478	0.1315707364526783	0	0	30.937888198757765	187.27103230547277	EDN3;IL6R
Positive Regulation of Calcium Ion Transport (GO:0051928)	2/31	0.0025087632834003815	0.1315707364526783	0	0	29.869565217391305	178.85792193078825	ANK2;MYLK
Nuclear Receptor-Mediated Signaling Pathway (GO:0141193)	2/33	0.002839972184710252	0.1315707364526783	0	0	27.93969144460028	163.83726156915148	NR3C1;PLPP1
Positive Regulation of Monoatomic Ion Transport (GO:0043270)	2/43	0.004783448141947699	0.1315707364526783	0	0	21.114528101802758	112.80634320901902	ANK2;MYLK
Nitrogen Compound Transport (GO:0071705)	3/145	0.0050858705202128495	0.1315707364526783	0	0	9.300469483568076	49.118467833014996	EDN3;AQP8;ABCG2
Regulation of Cell-Substrate Adhesion (GO:0010810)	2/46	0.005457674082549767	0.1315707364526783	0	0	19.67193675889328	102.50520162768173	GCNT2;EDIL3
Positive Regulation of Chemotaxis (GO:0050921)	2/47	0.005691557434507687	0.1315707364526783	0	0	19.23381642512077	99.41519936572237	EDN3;IL6R
Nuclear Receptor-Mediated Steroid Hormone Signaling Pathway (GO:0030518)	2/50	0.0064203200925442745	0.1315707364526783	0	0	18.028985507246375	91.01549863791358	NR3C1;PLPP1
Cellular Response to Ketone (GO:1901655)	2/51	0.006672204853240559	0.1315707364526783	0	0	17.66015971606034	88.47395487409875	NR3C1;PCK1
Positive Regulation of Leukocyte Chemotaxis (GO:0002690)	2/57	0.008276101863634535	0.1315707364526783	0	0	15.728853754940712	75.41015236871628	EDN3;IL6R
Regulation of Lipid Metabolic Process (GO:0019216)	2/58	0.008558647076598494	0.1315707364526783	0	0	15.4472049689441	73.5412565950778	PCK1;PLPP1
Regulation of Calcium Ion Transport (GO:0051924)	2/60	0.009136597521628502	0.1315707364526783	0	0	14.91304347826087	70.02370688055636	ANK2;MYLK
Regulation of Systemic Arterial Blood Pressure by Endothelin (GO:0003100)	1/5	0.011943612841183377	0.1315707364526783	0	0	106.1063829787234	469.7922320558719	EDN3
Fibroblast Migration (GO:0010761)	1/5	0.011943612841183377	0.1315707364526783	0	0	106.1063829787234	469.7922320558719	TNS1
Renal Tubular Secretion (GO:0097254)	1/5	0.011943612841183377	0.1315707364526783	0	0	106.1063829787234	469.7922320558719	ABCG2
Negative Regulation of Collagen Metabolic Process (GO:0010713)	1/5	0.011943612841183377	0.1315707364526783	0	0	106.1063829787234	469.7922320558719	IL6R
Hepatocyte Differentiation (GO:0070365)	1/5	0.011943612841183377	0.1315707364526783	0	0	106.1063829787234	469.7922320558719	PCK1
Riboflavin Transport (GO:0032218)	1/5	0.011943612841183377	0.1315707364526783	0	0	106.1063829787234	469.7922320558719	ABCG2
SA Node Cell to Atrial Cardiac Muscle Cell Signaling (GO:0086018)	1/5	0.011943612841183377	0.1315707364526783	0	0	106.1063829787234	469.7922320558719	ANK2
Regulation of Glomerular Mesangial Cell Proliferation (GO:0072124)	1/5	0.011943612841183377	0.1315707364526783	0	0	106.1063829787234	469.7922320558719	IL6R
Positive Regulation of Potassium Ion Import Across Plasma Membrane (GO:1903288)	1/5	0.011943612841183377	0.1315707364526783	0	0	106.1063829787234	469.7922320558719	ANK2
Membrane Depolarization During SA Node Cell Action Potential (GO:0086046)	1/5	0.011943612841183377	0.1315707364526783	0	0	106.1063829787234	469.7922320558719	ANK2
Urea Transport (GO:0015840)	1/5	0.011943612841183377	0.1315707364526783	0	0	106.1063829787234	469.7922320558719	AQP8
Regulation of Peptide Secretion (GO:0002791)	1/5	0.011943612841183377	0.1315707364526783	0	0	106.1063829787234	469.7922320558719	PYY
Platelet Degranulation (GO:0002576)	1/5	0.011943612841183377	0.1315707364526783	0	0	106.1063829787234	469.7922320558719	TPH1
Metal Ion Transport (GO:0030001)	3/200	0.012247096503504439	0.1315707364526783	0	0	6.685279187817259	29.431716933517144	SLC4A4;TRPM6;SLC17A4
Adiponectin-activated Signaling Pathway (GO:0033211)	1/6	0.014315528554342706	0.1315707364526783	0	0	84.88085106382978	360.4389302463305	APPL2
