Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BILE SECRETION	4/88	5.872455948054124E-5	0.006812048899742783	0	0	21.5021645021645	209.48811736261268	ADCY9;AQP8;SLC4A4;ABCG2
PROXIMAL TUBULE BICARBONATE RECLAMATION	2/21	0.001150441700335646	0.06672561861946746	0	0	45.61327231121282	308.69280695051845	PCK1;SLC4A4
VASCULAR SMOOTH MUSCLE CONTRACTION	3/131	0.0038305984619632135	0.12256711496876177	0	0	10.325	57.45588094136373	ADCY9;EDN3;MYLK
ABC TRANSPORTERS	2/45	0.005228346518497605	0.12256711496876177	0	0	20.130434782608695	105.7584641094917	ABCA8;ABCG2
PHOSPHOLIPASE D SIGNALING PATHWAY	3/147	0.005283065300377663	0.12256711496876177	0	0	9.170370370370371	48.08253344370093	ADCY9;LPAR1;PLPP1
PI3K-AKT SIGNALING PATHWAY	4/355	0.010275353711641287	0.17142557114915505	0	0	5.076664076664077	23.241004160385458	PHLPP2;LPAR1;PCK1;IL6R
NEUROACTIVE LIGAND-RECEPTOR INTERACTION	4/366	0.011395432604737117	0.17142557114915505	0	0	4.9196383726770465	22.013131733763974	PYY;EDN3;LPAR1;NR3C1
THYROID HORMONE SYNTHESIS	2/71	0.012614773266518792	0.17142557114915505	0	0	12.528670447385004	54.786455996885486	ADCY9;GPX3
GASTRIC ACID SECRETION	2/73	0.01330025983053789	0.17142557114915505	0	0	12.174525413349663	52.59360534174025	ADCY9;MYLK
GAP JUNCTION	2/85	0.017741984149236282	0.20580701613114086	0	0	10.408067050811944	41.96346811639173	ADCY9;LPAR1
PANCREATIC SECRETION	2/99	0.023602999269332906	0.248904355931147	0	0	8.899596593455849	33.3412839225343	ADCY9;SLC4A4
PLATELET ACTIVATION	2/125	0.03625868108239754	0.3054286187510575	0	0	7.009190526687876	23.250020817139678	ADCY9;MYLK
NITROGEN METABOLISM	1/17	0.0400414596344939	0.3054286187510575	0	0	26.51063829787234	85.306988915029	CA7
APELIN SIGNALING PATHWAY	2/138	0.04337055502954885	0.3054286187510575	0	0	6.335038363171355	19.879188990111654	ADCY9;MYLK
BIOSYNTHESIS OF VARIOUS NUCLEOTIDE SUGARS	1/20	0.046942764384003306	0.3054286187510575	0	0	22.32138857782755	68.27724816722397	UGP2
OXYTOCIN SIGNALING PATHWAY	2/152	0.051558367083297925	0.3054286187510575	0	0	5.739710144927536	17.01847459708145	ADCY9;MYLK
CGMP-PKG SIGNALING PATHWAY	2/161	0.05709200458879028	0.3054286187510575	0	0	5.412359857806946	15.496079863013223	ADCY9;MYLK
FOLATE BIOSYNTHESIS	1/27	0.06285743806698686	0.3054286187510575	0	0	16.306055646481177	45.11699715873728	TPH1
GLYCOSPHINGOLIPID BIOSYNTHESIS - LACTO AND NEOLACTO SERIES	1/28	0.06510961590795171	0.3054286187510575	0	0	15.70133963750985	42.89108304980743	GCNT2
FOLATE TRANSPORT AND METABOLISM	1/29	0.06735649381055159	0.3054286187510575	0	0	15.139817629179332	40.84353327133134	ABCG2
CITRATE CYCLE (TCA CYCLE)	1/30	0.06959808398100582	0.3054286187510575	0	0	14.617021276595745	38.95462833164002	PCK1
GALACTOSE METABOLISM	1/32	0.07406544979139525	0.3054286187510575	0	0	13.6726149622512	35.58716590068139	UGP2
TRANSCRIPTIONAL MISREGULATION IN CANCER	2/189	0.07552834696297395	0.3054286187510575	0	0	4.595442920251104	11.871165225289417	MEIS1;TSPAN7
PATHOGENIC ESCHERICHIA COLI INFECTION	2/198	0.08181072190551267	0.3054286187510575	0	0	4.382431233362911	10.970745946307456	CLDN23;LPAR1
PENTOSE AND GLUCURONATE INTERCONVERSIONS	1/36	0.08293726244296368	0.3054286187510575	0	0	12.10759878419453	30.143935528683446	UGP2
STARCH AND SUCROSE METABOLISM	1/36	0.08293726244296368	0.3054286187510575	0	0	12.10759878419453	30.143935528683446	UGP2
AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM	1/37	0.08514217784287476	0.3054286187510575	0	0	11.770685579196217	28.996292220497825	UGP2
RAP1 SIGNALING PATHWAY	2/210	0.09042949994547218	0.3054286187510575	0	0	4.127090301003345	9.918160423663684	ADCY9;LPAR1
TRYPTOPHAN METABOLISM	1/42	0.09608912719651233	0.3054286187510575	0	0	10.332641411520498	24.203996656798854	TPH1
HORMONE SIGNALING	2/218	0.09631940905194716	0.3054286187510575	0	0	3.972624798711755	9.296281421042073	ADCY9;GUCA2B
VASOPRESSIN-REGULATED WATER REABSORPTION	1/43	0.09826307487256424	0.3054286187510575	0	0	10.08611955420466	23.400876172094083	ADCY9
FAT DIGESTION AND ABSORPTION	1/43	0.09826307487256424	0.3054286187510575	0	0	10.08611955420466	23.400876172094083	PLPP1
CAMP SIGNALING PATHWAY	2/222	0.09930522961896758	0.3054286187510575	0	0	3.899604743083004	9.006359605052252	ADCY9;EDN3
HUMAN CYTOMEGALOVIRUS INFECTION	2/223	0.10005581209170233	0.3054286187510575	0	0	3.8817627385402322	8.935923127680846	ADCY9;IL6R
VARIOUS TYPES OF N-GLYCAN BIOSYNTHESIS	1/44	0.1004319028156185	0.3054286187510575	0	0	9.851063829787234	22.640457319741365	MGAT4A
PYRUVATE METABOLISM	1/45	0.10259562282115367	0.3054286187510575	0	0	9.62669245647969	21.91959374925238	PCK1
REGULATION OF ACTIN CYTOSKELETON	2/228	0.10383290087581931	0.3054286187510575	0	0	3.794921123509042	8.595391583488565	LPAR1;MYLK
CYTOSKELETON IN MUSCLE CELLS	2/230	0.10535480179183701	0.3054286187510575	0	0	3.761250953470633	8.46440023958189	ANK2;SYNE3
VIRION - HEPATITIS VIRUSES	1/47	0.1069077860677883	0.3054286187510575	0	0	9.207215541165587	20.585387807497664	CLDN23
VIBRIO CHOLERAE INFECTION	1/49	0.11119965848123285	0.3054286187510575	0	0	8.822695035460994	19.378414132394244	ADCY9
ENDOCRINE AND OTHER FACTOR-REGULATED CALCIUM REABSORPTION	1/50	0.11333801483691312	0.3054286187510575	0	0	8.642205818497612	18.81737166641443	ADCY9
OVARIAN STEROIDOGENESIS	1/51	0.11547133350102946	0.3054286187510575	0	0	8.468936170212766	18.28217177060722	ADCY9
ETHER LIPID METABOLISM	1/51	0.11547133350102946	0.3054286187510575	0	0	8.468936170212766	18.28217177060722	PLPP1
CALCIUM SIGNALING PATHWAY	2/250	0.12089918194213033	0.3054286187510575	0	0	3.4544179523141656	7.298488334943788	ADCY9;MYLK
SPHINGOLIPID METABOLISM	1/54	0.1218411792961756	0.3054286187510575	0	0	7.988358089120835	16.815788479202197	PLPP1
N-GLYCAN BIOSYNTHESIS	1/55	0.12395446305282025	0.3054286187510575	0	0	7.840031520882585	16.36873936245896	MGAT4A
MINERAL ABSORPTION	1/58	0.13026448091117324	0.3054286187510575	0	0	7.4262784621127285	15.136154814985696	TRPM6
REGULATION OF LIPOLYSIS IN ADIPOCYTES	1/58	0.13026448091117324	0.3054286187510575	0	0	7.4262784621127285	15.136154814985696	ADCY9
PATHWAYS IN CANCER	3/525	0.1313208997518061	0.3054286187510575	0	0	2.4814814814814814	5.037683682588689	ADCY9;LPAR1;IL6R
GLUTATHIONE METABOLISM	1/59	0.13235791393611177	0.3054286187510575	0	0	7.297872340425532	14.758089912942534	GPX3
LONGEVITY REGULATING PATHWAY - MULTIPLE SPECIES	1/60	0.1344464128504467	0.3054286187510575	0	0	7.173818968626037	14.394910368283425	ADCY9
CORTISOL SYNTHESIS AND SECRETION	1/63	0.14068241867365208	0.3054286187510575	0	0	6.82566918325326	13.386845588592887	ADCY9
STEROID HORMONE BIOSYNTHESIS	1/63	0.14068241867365208	0.3054286187510575	0	0	6.82566918325326	13.386845588592887	DHRS11
GLYCEROLIPID METABOLISM	1/64	0.14275129473502027	0.3054286187510575	0	0	6.716987504221547	13.075632863820008	PLPP1
GLYCOLYSIS / GLUCONEOGENESIS	1/65	0.14481529337334623	0.3054286187510575	0	0	6.611702127659575	12.77576681342427	PCK1
RENIN SECRETION	1/69	0.15302273806390057	0.3116926745192865	0	0	6.221526908635795	11.678855914035092	EDN3
ADIPOCYTOKINE SIGNALING PATHWAY	1/70	0.1550625177486151	0.3116926745192865	0	0	6.1310514955288316	11.427831826618126	PCK1
IGSF CAM SIGNALING	2/294	0.156851804315149	0.3116926745192865	0	0	2.9273377010125072	5.422757968050715	ANK2;MYLK
CYTOKINE-CYTOKINE RECEPTOR INTERACTION	2/296	0.15853334307446468	0.3116926745192865	0	0	2.9071280686187517	5.354320397960846	RELL1;IL6R
PPAR SIGNALING PATHWAY	1/76	0.16720056718493012	0.32278506297965603	0	0	5.63886524822695	10.085455516530569	PCK1
INSULIN SECRETION	1/81	0.17718504444156863	0.32278506297965603	0	0	5.285106382978723	9.14619710408154	ADCY9
GABAERGIC SYNAPSE	1/86	0.1870522818483187	0.32278506297965603	0	0	4.9729662077597	8.336517035216884	ADCY9
LONGEVITY REGULATING PATHWAY	1/87	0.189011779389329	0.32278506297965603	0	0	4.914893617021277	8.187947071985567	ADCY9
MORPHINE ADDICTION	1/89	0.19291691042065512	0.32278506297965603	0	0	4.802707930367505	7.902835241681023	ADCY9
SALIVARY SECRETION	1/89	0.19291691042065512	0.32278506297965603	0	0	4.802707930367505	7.902835241681023	ADCY9
GNRH SIGNALING PATHWAY	1/90	0.19486256522478784	0.32278506297965603	0	0	4.748505857040402	7.765995010266912	ADCY9
ALDOSTERONE SYNTHESIS AND SECRETION	1/92	0.19874010659848615	0.32278506297965603	0	0	4.643675473462707	7.503052567402758	ADCY9
CIRCADIAN ENTRAINMENT	1/95	0.2045221568875351	0.32278506297965603	0	0	4.494794024445451	7.1335930380020685	ADCY9
MELANOGENESIS	1/96	0.2064404126728171	0.32278506297965603	0	0	4.447256438969765	7.016629791356106	ADCY9
INFLAMMATORY MEDIATOR REGULATION OF TRP CHANNELS	1/97	0.2083541388506012	0.32278506297965603	0	0	4.400709219858156	6.902583070971099	ADCY9
HEMATOPOIETIC CELL LINEAGE	1/97	0.2083541388506012	0.32278506297965603	0	0	4.400709219858156	6.902583070971099	IL6R
FC GAMMA R-MEDIATED PHAGOCYTOSIS	1/98	0.21026334584786519	0.32278506297965603	0	0	4.355121737223075	6.791352910221466	PLPP1
CHOLINE METABOLISM IN CANCER	1/98	0.21026334584786519	0.32278506297965603	0	0	4.355121737223075	6.791352910221466	PLPP1
VIRAL PROTEIN INTERACTION WITH CYTOKINE AND CYTOKINE RECEPTOR	1/99	0.21216804410578985	0.32278506297965603	0	0	4.3104646113764655	6.682843716128026	IL6R
GLYCEROPHOSPHOLIPID METABOLISM	1/102	0.21785519065720038	0.32278506297965603	0	0	4.181799030966927	6.372746833533601	PLPP1
DILATED CARDIOMYOPATHY	1/103	0.21974195801724053	0.32278506297965603	0	0	4.140592407175636	6.274245219426223	ADCY9
GLUCAGON SIGNALING PATHWAY	1/104	0.22162426852221281	0.32278506297965603	0	0	4.100185912001653	6.17804456892913	PCK1
TH17 CELL DIFFERENTIATION	1/106	0.22537556017488292	0.32278506297965603	0	0	4.021681864235056	5.9922541460255765	IL6R
INSULIN RESISTANCE	1/107	0.22724456185308858	0.32278506297965603	0	0	3.9835407466880772	5.902525761467878	PCK1
PROGESTERONE-MEDIATED OOCYTE MATURATION	1/108	0.22910914776323044	0.32278506297965603	0	0	3.9461125472260887	5.814820824388835	ADCY9
HIF-1 SIGNALING PATHWAY	1/110	0.2328251130659166	0.32278506297965603	0	0	3.873316416162405	5.645233548869816	IL6R
CHOLINERGIC SYNAPSE	1/111	0.23467651282707594	0.32278506297965603	0	0	3.837911025145068	5.563233388756302	ADCY9
SEROTONERGIC SYNAPSE	1/111	0.23467651282707594	0.32278506297965603	0	0	3.837911025145068	5.563233388756302	TPH1
PARATHYROID HORMONE SYNTHESIS, SECRETION AND ACTION	1/112	0.23652353752819621	0.32278506297965603	0	0	3.803143569101016	5.483020803278797	ADCY9
GLUTAMATERGIC SYNAPSE	1/112	0.23652353752819621	0.32278506297965603	0	0	3.803143569101016	5.483020803278797	ADCY9
LEUKOCYTE TRANSENDOTHELIAL MIGRATION	1/116	0.24386808765967335	0.3289383507967687	0	0	3.6701202590194266	5.179008815752596	CLDN23
GROWTH HORMONE SYNTHESIS, SECRETION AND ACTION	1/118	0.24751437433019402	0.330019165773592	0	0	3.607019458083288	5.0364330094143	ADCY9
AMPK SIGNALING PATHWAY	1/121	0.25295154382023144	0.3334361259448505	0	0	3.5163120567375885	4.833372529738952	PCK1
PURINE METABOLISM	1/124	0.258350239082518	0.33672615430979874	0	0	3.4300294066770456	4.64233590912776	ADCY9
RELAXIN SIGNALING PATHWAY	1/126	0.26192812637195095	0.3375962517682924	0	0	3.3748085106382977	4.521180810968198	ADCY9
FOXO SIGNALING PATHWAY	1/130	0.2690332711029445	0.3429435104169402	0	0	3.269503546099291	4.292597323637588	PCK1
ESTROGEN SIGNALING PATHWAY	1/135	0.27782057390183557	0.34714414048785996	0	0	3.1467132422991426	4.030246729697494	ADCY9
OOCYTE MEIOSIS	1/136	0.2795655806915423	0.34714414048785996	0	0	3.1232466509062253	3.9806352561120573	ADCY9
INSULIN SIGNALING PATHWAY	1/137	0.28130645867119686	0.34714414048785996	0	0	3.1001251564455568	3.9319216086160855	PCK1
SIGNALING PATHWAYS REGULATING PLURIPOTENCY OF STEM CELLS	1/141	0.28822887297507993	0.3519426238432555	0	0	3.0109422492401214	3.7456134124770153	MEIS1
RETROGRADE ENDOCANNABINOID SIGNALING	1/146	0.2967901330113265	0.35862141072201953	0	0	2.9063829787234043	3.530470632982791	ADCY9
ADRENERGIC SIGNALING IN CARDIOMYOCYTES	1/148	0.30018633191537225	0.3589857165173524	0	0	2.8665508756694167	3.449469416162416	ADCY9
CUSHING SYNDROME	1/151	0.30525053713523	0.36131696232333343	0	0	2.808794326241135	3.332978282307435	ADCY9
NON-ALCOHOLIC FATTY LIVER DISEASE	1/154	0.31027885320657933	0.36185855046408255	0	0	2.7533027395355307	3.222145756014488	IL6R
CELL ADHESION MOLECULE (CAM) INTERACTION	1/155	0.31194702626214016	0.36185855046408255	0	0	2.7352859906051394	3.186394534645299	CLDN23
HEPATITIS C	1/158	0.31692787717713145	0.36399637378759647	0	0	2.682612820165334	3.0825395501893067	CLDN23
AUTOPHAGY - ANIMAL	1/167	0.33165954323987507	0.3735194855905389	0	0	2.5360164060497308	2.7988651445558497	TP53INP2
JAK-STAT SIGNALING PATHWAY	1/167	0.33165954323987507	0.3735194855905389	0	0	2.5360164060497308	2.7988651445558497	IL6R
TIGHT JUNCTION	1/169	0.3348907514156231	0.3735319919635796	0	0	2.5055724417426544	2.74097326654965	CLDN23
CHEMOKINE SIGNALING PATHWAY	1/191	0.3694398151640487	0.40606623852616597	0	0	2.212989921612542	2.203623295025809	ADCY9
CHEMICAL CARCINOGENESIS - RECEPTOR ACTIVATION	1/195	0.3755298304381213	0.40606623852616597	0	0	2.1669225707391973	2.122321603105279	ADCY9
NEUROACTIVE LIGAND SIGNALING	1/195	0.3755298304381213	0.40606623852616597	0	0	2.1669225707391973	2.122321603105279	ADCY9
PROTEOGLYCANS IN CANCER	1/197	0.3785532029916948	0.40606623852616597	0	0	2.1445940078158925	2.08325573097518	ANK2
FOCAL ADHESION	1/199	0.3815622413737249	0.40606623852616597	0	0	2.122716526971846	2.0451976629877233	MYLK
CORNIFIED ENVELOPE FORMATION	1/214	0.4036797921097899	0.42569868986123294	0	0	1.971731095794626	1.7886229535385159	CLDN23
HUMAN T-CELL LEUKEMIA VIRUS 1 INFECTION	1/219	0.41087873101307043	0.4293867819596051	0	0	1.926019910208862	1.7131122117384412	ADCY9
THERMOGENESIS	1/229	0.42502223823686813	0.4377390018082756	0	0	1.8406121687196715	1.5748531465367015	ADCY9
CORONAVIRUS DISEASE - COVID-19	1/230	0.42641816555461326	0.4377390018082756	0	0	1.8324816500975565	1.5618878897058712	IL6R
HUNTINGTON DISEASE	1/303	0.5198382911479207	0.5289582611680597	0	0	1.384387769480062	0.9057183854887997	GPX3
AMYOTROPHIC LATERAL SCLEROSIS	1/362	0.5843028488785023	0.5893837432165762	0	0	1.1546531502328048	0.6204365362327541	GPX3
PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES	1/469	0.6802965404963855	0.6802965404963855	0	0	0.8857974177123114	0.3412326273356047	GPX3
