Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NUCLEOCYTOPLASMIC TRANSPORT	3/106	2.700706385152335E-4	0.006751765962880837	0	0	27.563106796116504	226.48128037574324	CSE1L;RAN;NUP37
HIPPO SIGNALING PATHWAY - MULTIPLE SPECIES	2/29	5.493106201692561E-4	0.006866382752115702	0	0	67.16835016835017	504.2224932837275	TEAD4;AJUBA
ONE CARBON POOL BY FOLATE	2/36	8.480218264323183E-4	0.007066848553602653	0	0	53.32085561497326	377.11730650552244	MTHFD1L;GART
RIBOSOME BIOGENESIS IN EUKARYOTES	2/76	0.0037256955134565947	0.02328559695910372	0	0	24.44963144963145	136.73460616911441	NHP2;RAN
PURINE METABOLISM	2/124	0.009626088093393763	0.048130440466968814	0	0	14.794336810730254	68.69422391253094	IMPDH2;GART
HIPPO SIGNALING PATHWAY	2/155	0.014729044179264555	0.06137101741360232	0	0	11.778371954842543	49.6803948263265	TEAD4;AJUBA
CORNIFIED ENVELOPE FORMATION	2/214	0.026947057397744313	0.0962394907062297	0	0	8.475128644939966	30.628107866128612	CLDN1;S100A11
VIRION - HEPATITIS VIRUSES	1/47	0.054932232402403476	0.17166322625751088	0	0	18.83742911153119	54.65972021027424	CLDN1
VIRAL LIFE CYCLE - HIV-1	1/70	0.0807485039378433	0.22430139982734248	0	0	12.54379332073094	31.565400257861334	RAN
DRUG METABOLISM - OTHER ENZYMES	1/81	0.09285518729033622	0.23213796822584054	0	0	10.81304347826087	25.699513172479282	IMPDH2
LEUKOCYTE TRANSENDOTHELIAL MIGRATION	1/116	0.13036822676466872	0.27111366620265887	0	0	7.508884688090737	15.298543987469415	CLDN1
OXIDATIVE PHOSPHORYLATION	1/134	0.14907714860631013	0.27111366620265887	0	0	6.486760379208892	12.34619479702853	PPA1
SIGNALING PATHWAYS REGULATING PLURIPOTENCY OF STEM CELLS	1/141	0.15624815444715687	0.27111366620265887	0	0	6.160248447204969	11.435329575139104	TBX3
CELL ADHESION MOLECULE (CAM) INTERACTION	1/155	0.1704168099322024	0.27111366620265887	0	0	5.596273291925466	9.902650470022865	CLDN1
HEPATITIS C	1/158	0.1734231440596118	0.27111366620265887	0	0	5.488507338687344	9.615978751903613	CLDN1
RIBOSOME	1/160	0.17542156339809037	0.27111366620265887	0	0	5.418922614164615	9.43197765535086	MRPS23
TIGHT JUNCTION	1/169	0.184357293017808	0.27111366620265887	0	0	5.126293995859213	8.667945912337231	CLDN1
PATHOGENIC ESCHERICHIA COLI INFECTION	1/198	0.21252328787467278	0.29517123315926774	0	0	4.365261531670713	6.760496714480504	CLDN1
HUMAN T-CELL LEUKEMIA VIRUS 1 INFECTION	1/219	0.23233491874151138	0.3057038404493571	0	0	3.940566414040686	5.751553536224198	RAN
SALMONELLA INFECTION	1/244	0.25529765720082287	0.31912207150102856	0	0	3.5306852746466273	4.820533336639566	CSE1L
PARKINSON DISEASE	1/263	0.2723075710397012	0.3241756798091681	0	0	3.271490209093926	4.255629955753677	TRAP1
IGSF CAM SIGNALING	1/294	0.2992640225853767	0.3400727529379281	0	0	2.920759756640451	3.5236894960074183	EPB41L2
AMYOTROPHIC LATERAL SCLEROSIS	1/362	0.3550826695510068	0.38370482562405456	0	0	2.3623991328435507	2.446039034645683	NUP37
ALZHEIMER DISEASE	1/379	0.36835663259909235	0.38370482562405456	0	0	2.2541982976765587	2.251276179913443	BACE2
PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES	1/469	0.4343808982166568	0.4343808982166568	0	0	1.8123374210330732	1.5111876261937391	TRAP1
